Lycopodiophyta, Плауновидные, Lycopodiaceae, Плауновые, Lycopodiella inundata (L.) Holub , Плаунок топяной
Lycopodiophyta, Плауновидные, Lycopodiaceae, Плауновые, Lycopodium annotinum L., Плаун годичный
Lycopodiophyta, Плауновидные, Lycopodiaceae, Плауновые, Lycopodium clavatum L., Плаун булавовидный
Lycopodiophyta, Плауновидные, Lycopodiaceae, Плауновые, Lycopodium complanatum L., Плаун сплюснутый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Polemoniaceae, Синюховые, Polemonium coeruleum L., Синюха голубая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Primulaceae, Первоцветовые, Androsace koso-poljanskii Ovzc., Проломник Козо-Полянского
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Primulaceae, Первоцветовые, Glaux maritima L., Млечник приморский
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Primulaceae, Первоцветовые, Hottonia palustris L., Турча болотная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Primulaceae, Первоцветовые, Trientalis europaea L., Седмичник европейский
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Pyrolaceae, Грушанковые, Chimaphila umbellata (L.) W. Barton, Зимолюбка зонтичная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Pyrolaceae, Грушанковые, Orthilia secunda (L.) House, Ортилия однобокая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Pyrolaceae, Грушанковые, Pyrola minor L., Грушанка малая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Pyrolaceae, Грушанковые, Pyrola rotundifolia L., Грушанка круглолистная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ranunculaceae, Лютиковые, Aconitum lasiostomum Reichenb. ex Bess., Борец шерстистоустый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ranunculaceae, Лютиковые, Aconitum nemorosum Bieb. ex Reichenb., Борец дубравный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ranunculaceae, Лютиковые, Actaea spicata L., Воронец колосистый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ranunculaceae, Лютиковые, Adonis vernalis L., Горицвет весенний
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ranunculaceae, Лютиковые, Adonis volgensis DC., Горицвет волжский
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ranunculaceae, Лютиковые, Clematis integrifolia L., Ломонос цельнолистный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ranunculaceae, Лютиковые, Delphinium duhmbergii Huth, Живокость Думберга 
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ranunculaceae, Лютиковые, Delphinium litwinowii Sambuk, Живокость Литвинова
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ranunculaceae, Лютиковые, Delphinium aggr. cuneatum Stev. ex DC, Живокость клиновидная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ranunculaceae, Лютиковые, Delphinium sergii Wissjul., Живокость Сергея
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ranunculaceae, Лютиковые, Pulsatilla patens (L.) Mill., Прострел раскрытый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ranunculaceae, Лютиковые, Pulsatilla pratensis (L.) Mill. s.l., Прострел луговой
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ranunculaceae, Лютиковые, Trollius europaeus L., Купальница европейская
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Rosaceae, Розоцветные, Amygdalus nana L., Миндаль низкий
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Rosaceae, Розоцветные, Cotoneaster alaunicus Golitsin., Кизильник алаунский
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Rosaceae, Розоцветные, Potentilla alba L., Лапчатка белая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Rosaceae, Розоцветные, Potentilla pimpinelloides L., Лапчатка бедренцоволистная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Rubiaceae, Мареновые, Asperula graveolens Bieb. ex Schult. et Schult. fil. s.l., Ясменник пахучий
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Rutaceae, Рутовые, Dictamnus gymnostylis Stev., Ясенец голостолбиковый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Salicaceae, Ивовые, Salix lapponum L., Ива лопарская
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Scrophulariaceae, Норичниковые, Linaria cretacea Fish. ex Spreng., Льнянка меловая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Scrophulariaceae, Норичниковые, Linaria odora (Bieb.) Fisch., Льнянка душистая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Scrophulariaceae, Норичниковые, Pedicularis dasystachys Schrenk, Мытник мохнатоколосый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Scrophulariaceae, Норичниковые, Pedicularis palustris L., Мытник болотный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Scrophulariaceae, Норичниковые, Scrophularia cretacea Fish. ex Spreng., Норичник меловой
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Trapaceae, Рогульниковые, Trapa natans L. s.l., Рогульник
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Urticaceae, Крапивные, Urtica kioviensis Rogow., Крапива киевская
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Alliaceae, Луковые, Allium decipiens Fisch. ex Schult. et Schult. fil, Лук обманывающий
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Alliaceae, Луковые, Allium globosum Bieb. ex Redoute, Лук шаровидный
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Alliaceae, Луковые, Allium inaequale Janka, Лук неравный
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Alliaceae, Луковые, Allium paczoskianum Tuzson, Лук Пачоского
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Alliaceae, Луковые, Allium praescissum Reichenb., Лук предвиденный
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Araceae, Ароидные, Calla palustris L., Белокрыльник болотный
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Cyperaceae, Осоковые, Blysmus compressus (L.) Panz. ex Link, Блисмус сжатый
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Cyperaceae, Осоковые, Carex bohemica Schreb., Осока богемская
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Cyperaceae, Осоковые, Carex lasiocarpa Ehrh., Осока волосистоплодная
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Cyperaceae, Осоковые, Carex limosa L., Осока топяная
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Cyperaceae, Осоковые, Cyperus michelianus (L.) Delik, Сыть Микели
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Cyperaceae, Осоковые, Eriophorum gracile Koch, Пушица стройная
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Cyperaceae, Осоковые, Eriophorum latifolium Hoppe, Пушица широколистная
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Cyperaceae, Осоковые, Eriophorum polystachyon L., Пушица многоколосковая
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Cyperaceae, Осоковые, Eriophorum vaginatum L., Пушица влагалищная
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Cyperaceae, Осоковые, Mariscus hamulosus (Bieb.) Hooper, Марискус крючковатый
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Cyperaceae, Осоковые, Pycreus flavescens (L.) Reichb., Ситовник желтоватый
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Cyperaceae, Осоковые, Scirpoides holoschoenus (L.) Sojak, Лжекамыш обыкновенный
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Cyperaceae, Осоковые, Scirpus melanospermus C.A. Mey, Камыш черносемянный
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Cyperaceae, Осоковые, Scirpus supinus L., Камыш приземиcтый
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Hyacinthaceae, Гиацинтовые, Bellevalia sarmatica (Pall. ex Georgi) Woronov, Бельвалия сарматская
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Hyacinthaceae, Гиацинтовые, Ornithogalum fischeranum Krasch., Птицемлечник Фишера
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Hyacinthaceae, Гиацинтовые, Ornithogalum kochii Parl., Птицемлечник Коха
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Iridaceae, Ирисовые, Crocus reticulatus Stev. ex Adam., Шафран сетчатый
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Iridaceae, Ирисовые, Gladiolus tenuis Bieb., Шпажник тонкий
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Iridaceae, Ирисовые, Iris aphylla L., Ирис безлистный
Magnoliophyta, Цветковые, Liliopsida, Однодольные, Iridaceae, Ирисовые, Iris arenaria Waldst. et Kit., Ирис песчаный
